source_type,platform,review_id,author,review_date,rating,title,body,extra,source_url,onsen_related,signals,raw_file,encoding,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
OTA full review,Jalan,jalan_896033fa34625648,ｓｕｚｕさん,2019/11/26,5,到着から帰る時まで癒されます！,今回2回目の宿泊でしたが接客。サービス。お部屋全てにおいて毎回癒されます。部屋付きの半露天風呂も広さも充分で温泉っていいねーって気分にさせてくれます 浴衣も好きな柄がえらべるし外を見ながらの食事も素敵です お料理もかなり量があり全てほんとにおいしく綺麗で手の込んだものばかりです ぜひまた利用させていただきます 毎回ありがとうございます,"時期:2019年11月宿泊; プラン:関アジ姿造り付き会席 １泊２食付プラン; 価格帯:29,001～30,000円(大人１名あたり/税込); 部屋:5; 風呂:5; 料理(朝食):5; 料理(夕食):5; 接客・サービス:5 | プラン 関アジ姿造り付き会席 １泊２食付プラン 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath,raw/jalan/archive_page_5.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_bce12d72ccfb3c19,yukikazeさん,2019/11/18,5,料理、ロケーション、お風呂のいずれも良かった。,新婚旅行に使用しました。特別な日に使用するならとても良い選択肢だと思います。 二階の部屋だったので別府湾が一望でき、ロケーションはとても良かったです。 ロビーも部屋もすごくモダンな感じで、置いてある椅子等もお洒落でした。 料理はレストランで、二人用の窓側の席でいただきましたが、夜も朝も大満足の内容で、係の方の印象も良かったです。 機会と余裕があればまた利用したいと思います。 食事の終了時間はやや早いので、余裕を持った旅程がオススメ。,"時期:2019年11月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:28,001～29,000円(大人１名あたり/税込); 部屋:4; 風呂:4; 料理(朝食):5; 料理(夕食):5; 接客・サービス:5 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath,raw/jalan/archive_page_5.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_3311e84bfe40e956,たわしさん,2019/11/11,4,大人の隠れ家みたいな旅館です！,夫婦旅行で利用させてもらいました。 スタッフの方も気軽に話しかけてくれて、楽しく過ごさせてもらいました。 建物自体が新しいのか、全体的にとても綺麗です。個人的にとてもおしゃれだと思いました。 二階のお部屋を利用したのですが、部屋から見える風景がとても素敵すぎます。 お部屋に露天風呂もあって、利用させてもらいましたがこれもまた最高でした。 お食事もとても美味しく、女の私には少し多いくらいでしたが、海の幸山の幸両方楽しめて大満足でした。 別府にはまたぜひ行きたいと計画中なので、その時はまたお世話になりたい素敵な旅館です。,"時期:2019年11月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:25,001～26,000円(大人１名あたり/税込); 部屋:5; 風呂:4; 料理(朝食):5; 料理(夕食):5; 接客・サービス:4 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath,raw/jalan/archive_page_6.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_321959e3cb34fd16,おにこさん,2019/10/30,3,ローケーションと食事がバツグンな宿,希望の201号室に案内していただきました。 オシャレで落ち着いた雰囲気のお部屋でした。高台にあり、別荘のようなお宿です。ベランダやお風呂から別府湾を眺めることが出来ました。 お風呂はガラス張りの内風呂ですが、直接ベランダにでることも可能です。網戸があり安心して温泉に入れました。虫が入ってこないためとても良いと思います 夕食は全て美味しかったです！！ お部屋の電気を全て消すと別府の綺麗な夜景も見れました。 ただトイレは独特の臭いがして、翌朝には水漏れもしていました。帰り際に水漏れの件を伝えたところ、そうでしたかと言われたのに少し驚きました。そのため総合評価は普通にしましが、食事やロケーションは大満足です！,"時期:2019年10月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:28,001～29,000円(大人１名あたり/税込); 部屋:3; 風呂:4; 料理(朝食):4; 料理(夕食):5; 接客・サービス:3 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;view;insects,raw/jalan/archive_page_6.html,cp932,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_95d6fb09cc1f73c1,ミカさん,2019/9/21,5,絶景！,海外からパートナーと利用させて頂きました。立地的には山の上にあり自動車がないといけないの少し不便ですが、旅館、部屋からの景色はとても素晴らしかったです。スタッフの方々もとても親切で感じがよく今回無料で旅館周辺のウォーキングツアーにつれて行って頂きとても貴重な体験をできました。お部屋も本当に素敵なデザインで露天風呂も最高でした。夕食、朝食共に大満足でした。また日本に行った時ぜひ利用させて頂きたいお宿です！！,"時期:2019年9月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:25,001～26,000円(大人１名あたり/税込); 部屋:5; 風呂:5; 料理(朝食):4; 料理(夕食):4; 接客・サービス:5 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;view,raw/jalan/archive_page_6.html,cp932,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_c4327473089548f8,しおりんさん,2019/9/8,5,色んな方に紹介したいです！！,今回、彼氏の誕生日旅行で利用させて頂きました。 (ケーキが出るプランにはせず)創作会席プランで予約をさせて頂きましたが、予約日の1週間前に、自分勝手ですが、やはりケーキを持って行きたいと思い、 事前にケーキの持込が出来るかを電話で確認させて頂いたところ、「こちらでご用意できます。」と言って頂きました。また、ケーキを出すタイミングも一緒に考えて下さり、とても好印象でした。 当日を迎え、スタッフの方もとても 親切な対応でした。 特に担当の男性の方は、対応はもちろん、テラス御堂原さんの会社がとても 好きなんだろうなと感じるほどの熱量で、彼も私もお話を聞くのが楽しかったです。 接客だけでなく、食事もとても美味しかったです。別府の景色を見ながら美味しい食事を堪能でき、とても良い思い出なりました。 温泉は、客室に一つ、大浴場にも一つ有りました。どちらも適温で、ついつい長湯してしまいました。リフレッシュ出来て良かったです。 そして、チェックアウトの際に、担当の男性の方から「お誕生日おめでとうございます。成功して良かったですね。」と言って頂けました。ただでさえ、満足感でいっぱいでしたが、その一言で、さらに幸せな気持ちになりました。 大切な旅行でテラス御堂原さんを選んで本当に良かったなと感じました。 是非、知人にも紹介して行ってほしいと思います。,"時期:2019年9月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:25,001～26,000円(大人１名あたり/税込); 部屋:5; 風呂:4; 料理(朝食):5; 料理(夕食):5; 接客・サービス:5 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;public_bath;view;temperature_hot,raw/jalan/archive_page_6.html,cp932,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
OTA full review,Jalan,jalan_6c9f9d0be2aced81,もくもくさん,2019/8/13,5,心も癒す絶景の隠れ宿,高台で他の温泉地から離れた場所にあり、ロケーション抜群で、やはり絶景を楽しみながら、何時でも入れる内風呂が最高です。更に、おこげがアクセントになった揚げ梅と大葉の吸い物、甘鯛のコーンフレーク揚げ、穴子の擬製豆腐など、独創性や意外性があり美味しくヘルシーな料理の数々、それを一段と輝かせるスタッフの親切で気遣いのある接客態度、心身共に癒すことができました、是非また行きたいオススメの宿です。,"時期:2019年8月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:30,001円以上(大人１名あたり/税込); 部屋:5; 風呂:5; 料理(朝食):4; 料理(夕食):5; 接客・サービス:5 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath,raw/jalan/archive_page_6.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_a73fb86a26ebbc74,とらちゃんさん,2019/8/12,3,創作料理に満足しました,丁寧な対応でゆっくり過ごすことができました お料理も美味しく頂きました お部屋の半露天風呂は掛け流しではありませんでしたが 源泉80度ということで 湯温を朝から調節して下さっていたようで 良い湯加減でした とろっとろの泉質でした 大浴場も他の宿泊客とかち合うこともなくゆっくり楽しめました 自然の中にある施設なので天井の蜘蛛の巣にあらっ？でした お二階のお部屋のテラスの柵が心細く感じました と言いますか 怖かった！,"時期:2019年8月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:30,001円以上(大人１名あたり/税込); 部屋:3; 風呂:4; 料理(朝食):4; 料理(夕食):4; 接客・サービス:3 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;public_bath,raw/jalan/archive_page_6.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_a2b68b34dd5a90a9,藤原組長さん,2019/7/22,4,部屋のテラスからの眺望と部屋風呂最高です,食事は、夕食と朝食とも創作的でとても美味しいです お風呂は、特に部屋風呂が良いです、眺めも良くゆっくり湯浴みできます 部屋は、解放感がありゆっくりくつろげます その他、自由に使える地獄蒸しがあればもっと良いと思います,"時期:2019年7月宿泊; プラン:関アジ姿造り付き会席 １泊２食付プラン; 価格帯:26,001～27,000円(大人１名あたり/税込); 部屋:4; 風呂:4; 料理(朝食):5; 料理(夕食):5; 接客・サービス:4 | プラン 関アジ姿造り付き会席 １泊２食付プラン 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;view,raw/jalan/archive_page_6.html,cp932,positive,body_positive,high,body_sentiment_inference_needed
OTA full review,Jalan,jalan_274bc7f4abe6f0fd,ひよこ豆さん,2019/6/26,2,若い人向けなら、、,2階の部屋を利用しました。景色はいいです。遠くに海が見えて、夜景もキレイでした。 建物が新しく全体的にはキレイですが、部屋の網戸のほこりや窓の汚れは気になりました。料理は見た目は写真通りのものです。味は普通です。 フロントに電話をしましたが出られませんでした。 従業員の方々ですが、、 皆さんお若いようですが、アルバイトなのでしょうか？ 社員教育や研修などされてないのでしょうか。 まず、お食事処の従業員の方のスリッパ？のような履物はご遠慮願いたい。こちらは食事中というのに、歩くたびに音がして足音を立てて歩かれてはゆっくり食事できません。そして非常に私語が多い。しかも声が大きい。居酒屋かと思いました。 (若い男性の方は頑張っていました。) そして翌朝の朝食ですが、また従業員の方々の大きな声の私語、笑い声までしていました。食事中の私の後ろで食器をガチャンガチャン、さすがに「静かにしてください」と言わせてもらいました。キレイな景色を見ながらの朝食も残念な結果に。 高台にあるので、静かな場所でのんびりできると思い選んだものでしたが微妙でした。お値段も内容からするとリーズナブルとは言えないと思います。宿を決める前に口コミも少し参考にしますが、先に辛口なコメントをみていて半信半疑でしたが、辛口ではなく事実でした。若い人なら十分楽しめると思いますが。 初めて利用しましたが、2度目はないかもしれません。 テラス御堂原の従業員の方々はお若いようでしたので、 これからを期待したいと思います。,"時期:2019年6月宿泊; プラン:半露天風呂付客室 1泊2食 創作会席プラン 2階客室; 価格帯:25,001～26,000円(大人１名あたり/税込); 部屋:4; 風呂:3; 料理(朝食):2; 料理(夕食):2; 接客・サービス:2 | プラン 半露天風呂付客室 1泊2食 創作会席プラン 2階客室 和洋室 朝・夕",https://www.jalan.net/yad392046/kuchikomi/archive/,1,room_open_air_bath;view,raw/jalan/archive_page_6.html,cp932,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
