sample_no,review_id,platform,source_url,review_date,stay_date,language,rating,reviewer,room_or_plan,title,body_excerpt,bath_area_tags,keyword_tags,onsen_related,sample_layer,body_hash,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
240,jalan_archive_04_010,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/17,,ja,,,,開放感あふれるお部屋とおもてなしとお食事が最高でした！,自分へのご褒美として利用しました。オーシャンビューの綺麗な落ち着くお部屋。出会うスタッフさん全員がしっかりと教育を受けていると感じる素晴らしいおもてなし。１品１品感動するお食事。無駄のないアメニティー、かわいい風呂敷、楽しいイベント・・・心も身体も癒されゆっくりできました。大満足です。次はワンコを連れて泊まりにいきます。,facility_wide,view,true,jalan_archive,aca2a540cbfe,positive,body_positive,high,body_sentiment_inference_needed
241,jalan_archive_04_023,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/11,,ja,,,,また行きたい,初めて訪れました。 全てにおいて良かったです。 毎年旅行に行ってますが、子どもがまた泊まりたいと気に入るほどのお宿でした。 残念なのは、ラウンジにあるドリンクが、小さい子どもが飲めるものがなかったことです。 また涼しい時期に伺いたいと思います。 ありがとうございました。,unclear,,false,jalan_archive,a3bd1fc1dca2,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
242,jalan_archive_04_036,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/8,,ja,,,,子連でも大丈夫です。,部屋も料理もとても良かったです。 食事の時に子供にも配慮されていて、楽しいひとときを過ごさせてもらいました。,unclear,,false,jalan_archive,edc29abd9080,positive,body_positive,high,body_sentiment_inference_needed
243,jalan_archive_04_049,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/6,,ja,,,,初めての星野リゾート,今回、台風の影響で予定していた旅行が行けなくなり、急な変更で前日に予約して利用させてもらいました。 部屋からの窓一面に広がる海の景色は、最高でした。 しかし、部屋の露天風呂からは立ち上がらないと景色が見えないのがちょっと残念でした。 スタッフの方も親切で、みなさん笑顔がとても素敵でした。 夕食の料理は、どれも美味しかったけど、量が少ないと思いました。鍋に麺は,room_open_air_bath,booking_confusion|open_air_public_bath|room_open_air_bath|view,true,jalan_archive,7a690e106748,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
244,jalan_archive_04_062,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/3,,ja,,,,初めての界,予定がくるいお昼を食べる時間が遅くなってしまい夕食を17時30分で予約していたのですが、変更をお願いした所快く承諾頂きおかげで夕食も美味しく完食することができました。 室内はオーシャンビューで景色は最高でしたが、露天風呂からは海が見えず少し閉鎖的で残念でした。足湯はオーシャンビューでとても気持ち良かったです。 イベントで提供されている地獄ラーメンを夕食の後だ,open_air_public_bath,booking_confusion|footbath|open_air_public_bath|view,true,jalan_archive,d0abe826025e,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
245,jalan_archive_04_075,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/3,,ja,,,,隅々まで楽しめる宿,接客、設備、お料理、全てにおいて最高でした お部屋から海を眺めてのんびり過ごさせていただきました 随所に見受けられた大分の竹のインテリアも印象的でした スタッフの方々の細かな心遣いにも感銘を受けました,unclear,view,false,jalan_archive,3420d8cddd9d,positive,body_positive,high,body_sentiment_inference_needed
246,jalan_archive_04_088,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/9/1,,ja,,,,天気が良くなくても楽しめる,残念なことに本当に天候が悪かったのでキャンセルも考えていました。それでも星野リゾートに対する期待は高く、行けば宿の中だけでも満足のいくものになると確信していました。他の星野リゾートでの宿泊体験もあったからです。宿はやはりその期待に沿うものでした。また、スタッフの対応もとても行き届いたものだったのが、悪天候のマイナスを補ってくれました。強いて言えば、期待値が高,unclear,,false,jalan_archive,bef2cb85eb74,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
247,jalan_archive_04_101,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/29,,ja,,,,エンターテインメント制はバツグン。夕食でマイナス…。,宿の紹介にもあるように、とにかく楽しめる宿でした。 温泉を使ったアロマを作れたり、ピンボール？やかたぬきなどの遊びができたり、しめの豚骨ラーメンを作れたり、美味しい温泉卵をいただけたり…と、大人でもワクワクすることがたくさんありました。 しかし、夕食のメニューの種類が5種類程度しかなく物足りないと感じてしまいました。メニュー表を見て、これだけ？と正直感じまし,facility_wide,view,true,jalan_archive,8d4872ee13d9,positive,body_positive,high,body_sentiment_inference_needed
248,jalan_archive_04_114,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/18,,ja,,,,結婚10年記念旅行,部屋は全面ガラスのオーシャンビューで、早起きして朝日がのぼるのを見ました。水平線からのぼる太陽がとてもキレイで絶景でした。お部屋、料理、お風呂、接客全てがとても良く感動しました。またぜひ行きたいです。,facility_wide,view,true,jalan_archive,e40f06600dca,positive,body_positive,high,body_sentiment_inference_needed
249,jalan_archive_04_127,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/17,,ja,,,,スタッフの若さが際立ちました,対応いただいたスタッフさんが、ほとんど20代と思われましたが、全てにおいて丁寧な言葉遣い、笑顔での対応が印象的でした。強いて言えば、部屋の洗面台が間接照明だったのが使いにくかったです。トイレも他のスペースに比べると狭く感じました。,unclear,,false,jalan_archive,25dbbeec0699,mixed,body_negative_with_context,high,body_sentiment_inference_needed
250,jalan_archive_04_140,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/13,,ja,,,,界、有名ですが…,以前オープン当時？利用して、やや残念だったので今回は良いかもと思い予約しました。部屋は海が直ぐそこにあるような広いガラス窓で素敵でした。ビジネスホテル同様部屋への案内もなく荷物もすべて自分で運びます。 夕食は白米がなく、わずかな麺だけで私達には足りなかったので、すぐ近くの天丼が有名な店に食べに行きました。ホテルが目指しているものと我が家が求めているものが合わ,unclear,booking_confusion|view,false,jalan_archive,ad70a204f2d0,mixed,body_negative_with_context,high,body_sentiment_inference_needed
251,jalan_archive_04_153,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/11,,ja,,,,赤ちゃんも大喜びでした,1才4ヶ月の赤ちゃん、おじいちゃん、おばあちゃんも一緒に宿泊しました。部屋は、海を一望でき、部屋から見える朝日がとても綺麗でした！そして、赤ちゃんのオムツを捨てるための蓋付きゴミ箱もちゃんと準備してくれていました！赤ちゃんには夕食朝食共に、サービスで味噌汁とご飯とふりかけ、使い捨てエプロンを用意してくれました。お風呂はベビーバスの貸し出しもありました。他にも,facility_wide,cleaning_or_maintenance|view,true,jalan_archive,2f6012e76e7c,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
252,jalan_archive_04_166,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/7,,ja,,,,界、初めての九州,年に3回は温泉旅行に行く夫婦です。星野リゾート界巡りをしていまして今回11つ目の界宿泊でした。本当にどこもハズレがなく安定の満足感を得られるので、とても気にいってます。今回は暑い中、空調の故障という事で部屋のグレードアップのサービスがあり思いがけないラッキーがありました。しかし残念な事にそれでも冷房のききがあまり良くありませんでした。あとしいて言うならば、夜,facility_wide,view,true,jalan_archive,321e20e8541e,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
253,jalan_archive_04_179,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/4,,ja,,,,丁寧なスタッフ対応がよかた,スタッフの施設などの説明など。わかりやすくてとてもよかった。部屋も外の景色がよくみえて満足できた。食事内容も説明もよく、全部美味しかった。,unclear,view,false,jalan_archive,cfd88cab60c0,positive,body_positive,high,body_sentiment_inference_needed
254,jalan_archive_04_192,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/3,,ja,,,,家族旅行で最高の思い出になりました！,母と姉妹の女旅行で利用しました！ 角部屋でしたが、まず入った瞬間のオーシャンフロントの景色が最高でした！部屋は狭いのかな？と思いましたがそんなことはなく、十分な広さでした。お風呂は露天風呂のお湯がちょっと塩素臭を感じましたので－1にしましたが、雰囲気もよくリラックスできました。内風呂は温度の違う２つの湯を楽しめて最高でした！風呂上がりのゆずドリンクやアイスも,open_air_public_bath,chlorine_smell|open_air_public_bath|view,true,jalan_archive,72e5a213a1ad,negative,negative_signal_tag,high,body_sentiment_inference_needed
255,jalan_archive_04_205,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/8/2,,ja,,,,古希祝い,60代の妹の提案で古希本人の私が早割・クーポン・ポイント等を使ってお得に利用する事が出来ました。 予約時は全く知らなかったのですが、宿泊日が別府100周年の花火大会の日で一万発の花火をエアコンの効いた部屋からたっぷり真近で観る事が出来てとても幸せでした。 お料理・風呂・部屋など代金は少々高めですが納得する内容でした。 これからは日本各地の星野リゾート界巡りを,facility_wide,booking_confusion|cleaning_or_maintenance,true,jalan_archive,e0d0045c0bd8,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
256,jalan_archive_04_218,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/28,,ja,,,,リゾート感たっぷり,ウェルカムドリンクや、足湯、別府湾が見渡せる部屋の露天風呂、一面窓の客室は素晴らしかったです。催し物や、湯上がりのアイス、ドリンクもよかったです。ただベッドは小さかったです。 残念なのはお食事で、夕食はどれがメインかわからない感じで、ランクアップすればよかったと後悔。ボリュームは少ないし、内容もいまいちでした。 お宿の売りはリゾート感かな、といった感じをうけ,room_open_air_bath,footbath|open_air_public_bath|room_open_air_bath|view,true,jalan_archive,aba0f789baa2,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
257,jalan_archive_04_231,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/25,,ja,,,,夕食だけが…,普段は当たり外れは仕方ないと思い出かけるけど、星野リゾートは良くて当たり前と、楽しみにして行きました。ラウンジサービスや、夜店風のイベント、風呂上がりのアイスなど、子供も喜び、いざ夕食、ワクワクしながら行きました。が、夕食だけが、残念でした。 席に案内され、飲み物を頼もうとしたら、担当が伺いますと言ってもなかなかこない。通りががりのスタッフに声をかけ、何とか,facility_wide,footbath|view,true,jalan_archive,90799fd59910,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
258,jalan_archive_04_244,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/22,,ja,,,,初めての星野リゾートでした,事前決済のみのキャンセル料１００％ということで当日までアクシデントが起こらぬようようドキドキいたしました。 ここから色んな場所を比較しながら楽しめたらいいなと思います。,unclear,,false,jalan_archive,8c2c8cb5ae5a,positive,body_positive,high,body_sentiment_inference_needed
259,jalan_archive_04_257,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/21,,ja,,,,星乃リゾートの楽しみな旅行,YouTubeなどで色々な情報を得て期待満々でいきたした。 まずは部屋の窓にびっくり。窓一面に海が広がり思わずわぁ～と声がでました。翌朝はそこから見える朝日にうっとり。 まずはお風呂でゆつくりしてミスト作りや風呂桶によるバンド、お祭り、地獄ラーメン作りなとに参加しました。 爺さん婆さんになってもお祭りは楽しかったです。 朝の体操もスッキリしました。 本当に心,facility_wide,view,true,jalan_archive,dc7adfe7a90a,positive,body_positive,high,body_sentiment_inference_needed
260,jalan_archive_04_270,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/14,,ja,,,,人材不足ですか？,ホームページに記載してある内容とは程遠いサービスで、星野リゾートとしては残念な宿でした。 チェックインも雑、夕食も時間は遅いし、ドリンクオーダー後に提供まで20分待たされ、残念でした。嫁の誕生日として伝えてましたが、嫁も残念そうでした。 一番残念なのは朝食時間が7時30～で、どうしても7時に出発しないといけない旨を事前相談したにも関わらず、料理長に確認して再,unclear,booking_confusion,false,jalan_archive,7a2430cf19ab,mixed,body_negative_with_context,high,body_sentiment_inference_needed
261,jalan_archive_04_283,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/11,,ja,,,,別府湾を望む現代的湯宿,家族旅行で初めての星野リゾートを利用しました。別府湾の波打ちが眼前に迫る湯宿は、外観こそ現代的なホテルといった様子。チェックインロビーや催物がある広場などはデザイナーズホテルといった感もあります。部屋へ進むと、湾を見渡す全面ガラス張りの大開口が目を見張り、部屋(宿)の特徴となっています。所々に伝統の和柄をモチーフとして採り入れた和洋室な雰囲気でくつろげます。,open_air_public_bath|public_bath,booking_confusion|footbath|open_air_public_bath|public_bath|view,true,jalan_archive,e53ae8c445a9,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
262,jalan_archive_04_296,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/7,,ja,,,,喧騒を忘れて癒しが堪能できるホテル,夫婦旅行で利用しました。 チェックインからチェックアウトまで非常にリラックスして過ごすことができました。 印象に残った点を以下に記載します。 ・催し物満載！ ホテル宿泊者限定で行われる夜店や温泉いろはラボ、湯治体操など催し物満載でホテル内だけで楽しく過ごすことができました。 ・ご飯のボリュームがすごい！ 夜ご飯のボリュームがすごく、大満足でした。 大分ならで,facility_wide,booking_confusion,true,jalan_archive,799f37f5ec71,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
263,jalan_archive_04_309,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/4,,ja,,,,景色よし！サービスよし！別府おすすめの宿,部屋に入った途端、大きな窓から青い海が広がる景色にびっくり！ （窓ガラスがピカピカで、まるでアートのようです。）ロビーの足湯につかってのんびりと海を眺めたり、ウエルカムドリンクのスパークリングワインを飲んだり、温泉を使った楽器演奏などのイベントに参加したり、食後の夜泣きラーメンや温泉卵を味わったりと無料サービスが盛りだくさん、とても楽しむことができました。そ,facility_wide,footbath|view,true,jalan_archive,91dc7d4bfd33,positive,body_positive,high,body_sentiment_inference_needed
264,jalan_archive_04_322,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/7/4,,ja,,,,家族 年齢問わず満喫出来る,初めての星野リゾートでしたが 子どもと高齢の祖母と一緒でしたが、会うスタッフさんが声をかけてくれて どこにいても良い時間を過ごすことがてまきました。お部屋、料理、さまざまなサービス 施設の充実。また行きたいとここから思いました。そして別の星野リゾートにも伺いたいと感じました。,unclear,booking_confusion,false,jalan_archive,b8f93ab5f4a6,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
