sample_no,source,source_subtype,review_id,review_date,stay_date,author,profile,rating,bath_score,language,is_onsen_related,bath_area_tags,matched_keywords,room_or_plan,title,body,source_url,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
242,Jalan,jalan_archive,12922441,2023/2/12,,,,,4,ja,False,,,,子連れに優しい,0歳の赤ちゃんを連れて宿泊させていただきました。アメニティやオムツ入れなどを準備していただき、哺乳瓶の消毒もしてもらえました。子連れにとっても優しいお宿で、楽しい旅行デビューとなりました。本当にありがとうございました。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
243,Jalan,jalan_archive,12921995,2023/2/12,,,,,5,ja,True,facility_wide,温泉,,ゆっくりできました,高齢の両親を連れての宿泊でしたが、チェックインから帰るまでご配慮いただき、ゆっくりできました。特に料理が美味しく、大分の山海の幸を満喫しました。また、部屋で食事もでき、温泉付きで膝痛の両親は助かりました。,https://www.jalan.net/yad324134/kuchikomi/archive/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
244,Jalan,jalan_archive,12921866,2023/2/12,,,,,4,ja,True,facility_wide,風呂;露天,,おもてなしが素晴らしい、満点の宿,還暦のお祝い旅行で利用させていただきました。 到着から最後のお見送り、そして宿泊中の細やかなお気遣い（還暦祝いということで、お部屋に赤いお花を生けていただいたり、サプライズケーキの準備をしていただいたり）、全てにおいておもてなしが素晴らしく気持ちよく過ごすことが出来ました。 今回乳幼児連れでの宿泊でしたが、事前にお伝えするとベビーグッズやクーヘンの準備をしていただけ、またお風呂のベビーチェアまで貸し出していただけました。お部屋も大変綺麗で広く、清掃が行き届いており、安心して子供をお部屋で遊ばせることが出来ました。ありがとうございます。 お料理はどれも美味しく、ボリュームもたっぷりで朝夕大変満足しました。おおいた和牛のしゃぶしゃぶは絶品です！ お風呂は内風呂＋露天風呂のお部屋で、内風呂はもう少し電気が明るいほうが良いかな？と思いましたが雰囲気があってとても良かったです。 両親も大変喜んでくれ、かんな和別邸さんを選んで良かったです！素敵な2日間をありがとうございました。 また家族で利用させていただきたいと思います！,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
245,Jalan,jalan_archive,12919229,2023/2/11,,,,,4,ja,True,facility_wide,風呂,,おもてなし、部屋、食事、全て満足,旅館にチェックインからチェックアウトまで、とてもサービスが行き届き、満足しました！ 子供用の寝具だったり、お風呂の道具、ご飯の準備などにも気配りができており、安心して宿泊することができました！ 食事の準備をしてくれた仲居さんが特に息子の相手をしてくれたことがありがたかったです！,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
246,Jalan,jalan_archive,12900388,2023/1/29,,,,,5,ja,True,facility_wide,温泉;風呂;露天;掛け流,,疲れが取れる,部屋での食事や部屋付きの掛け流しの温泉、露天風呂を楽しみながらゆっくり過ごせた。スタッフさんの気遣いや配慮があり、部屋も清潔感があって落ち着いた雰囲気を感じた。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
247,Jalan,jalan_archive,12898243,2023/1/28,,,,,4,ja,False,,,,またいきたいです,着いたときから幸せ。お料理もひとつひとつが、とても美しく美味しかったです。若い可愛い仲居さんもとても感じがよくて、ほんとにいごこちがよかたったです。 また、かならず行きま～す。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
248,Jalan,jalan_archive,12885677,2023/1/19,,,,,4,ja,True,facility_wide,湯;熱;予約,,サービスがよかった,子どもの一歳記念で利用しました。子どもの食事などは事前に予約してませんでしたが、サービスで提供していただきました。ご飯汁物、おかずと用意していただき、子どもも大満足で完食しました。 翌日の朝には、哺乳瓶と子ども用マグを洗浄と熱湯消毒までしていただき、とても助かりました！とてもゆっくりのんびりと出来、家族でいい思い出が出来ました！また利用したいと思います。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
249,Jalan,jalan_archive,12868691,2023/1/9,,,,,4,ja,True,facility_wide,温泉;風呂;熱;水,,小さい子供連れの旅行にピッタリ,3歳と6ヶ月の子供を連れての旅行でした。まだ子供も小さいので、朝夕部屋食が出来るとのことでこちらを選びました。6ヶ月の子供には食事布団不要にしてましたがベビー布団が用意されてあり、「お子様の為になにかお手伝い出来ることがあれば仰ってください」と温かいお言葉も頂き、とても嬉しい気持ちになりました。お風呂は温泉なので仕方ありませんが、少し熱く感じたので子供が入るには結構水を足さなければいけない感じでした。子供用のボディソープ、ガーゼ、ボディローション等アメニティも充実してます。可愛い巾着袋は持ち帰りOKとのことでした。 3歳の子供が、ケチャップがほしい！ストローで飲みたい！とワガママを言ったのですが、そんなワガママにも快く答えて下さり、 とても大満足の旅行でした。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
250,Jalan,jalan_archive,12861560,2023/1/7,,,,,5,ja,True,family_bath,温泉;風呂;露天;家族風呂,,最高の思い出をありがとう。,祖父と祖母を連れてこの旅館に行きました。接客が大変素晴らしく、とても気を遣って頂いて気持ちの良い気分でゆっくりできました。お部屋からの景色も風流で、静かで落ち着いた空間でした。料理は大変前から準備されていて、味付けも良くとても満足でした。別府といえば温泉なので入れ替わり制の家族風呂を利用しました。とても広い露天風呂でゆっくりできました。言葉不足で伝えきれない事が多いのが申し訳ないです。最後に一言。 最高の思い出をありがとうございました。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
251,Jalan,jalan_archive,12854253,2023/1/4,,,,,4,ja,True,room_bath;private_bath,温泉;風呂;露天;貸切;予約,,いつでも入れる温泉の特別感,初めて利用しましたが、外観も内装も上品でお部屋も広く清潔でした。 ウェルカムスイーツと美味しいお茶で一息ついて、お部屋のお風呂へ。 予約時にどの部屋かは選べませんでしたが、泊まりたかったお風呂付の部屋ですごくラッキーな気分に。温泉はサラっとした感じで気持ちよく時間制限もないので何回も入れるのがいいですね。 貸切風呂はすごく広くて、お部屋のお風呂とはまた違ったよさがありました。 夕食も朝食もボリュームがあり、どれも美味しくお腹いっぱいに。お部屋で食べられる特別感とコロナの心配も少ないので、すごくありがたかったです。運んでくれた方も親切で話やすく近場のオススメショップまで教えていただけました。 記念写真もこちらがお願いする前に撮りましょうかと声かけいただき、心遣いが本当に素晴らしい宿だなと感じました。 気になることがあるとすれば ●駐車場への入口がわかりにくく細い道なので、車で行かれる方はご注意を。 ●たまたま予約サイトをチェックしていたら空きがあり、幸運にも予約できましたが人気の宿なので数ヶ月前からの予約をオススメします。 ●お部屋の露天風呂に落ち葉を掬うためと思われる網が無造作に置いてありましたが、景観に影響するのでもう少し配慮した場所に置いてもらいたかったです。 ●内風呂から露天風呂に出るための引き戸がすごく固くて大人でも開けるのに苦労しました。力が弱い方は開けれないかもしれません。 ●全体的に清潔でしたがTVのリモコンだけ、いつ拭いたのだろう？と疑問に思うくらい埃と油？でギトギトしていて残念でした。 ●除菌シートは用意されてましたが、うがい薬はなかったので持参をオススメします。 ●食事の時にドリンクを注文して、請求書の金額とメニューの金額に差があったので確認したところ値上がりされているそうなのでご注意を。 いろいろ書きましたが全体的には大満足だったので、機会があればまた宿泊したいと思える宿でした。,https://www.jalan.net/yad324134/kuchikomi/archive/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
